10 -1 4.08818 2.06465 0.133712 0.0699547 3.22157 0.097175
20 -1 4.11725 2.09039 0.173999 0.0921779 3.23967 0.138991
30 -1 4.10022 2.09499 0.24957 0.13331 3.24361 0.203186
40 -1 4.10032 2.11348 0.377018 0.2015 3.22875 0.304232
50 -1 4.12167 2.14461 0.535009 0.288755 3.24868 0.431389
60 -1 4.15498 2.18869 0.74377 0.404188 3.27535 0.597671
70 -1 4.08354 2.18247 0.981617 0.538834 3.22277 0.78759
80 -1 4.10645 2.22354 1.21653 0.675736 3.23909 0.974455
90 -1 4.16763 2.29856 1.49078 0.837364 3.27482 1.19345
100 -1 4.10043 2.3101 1.72533 0.987404 3.24451 1.38298
110 -1 4.15967 2.39731 2.02833 1.17668 3.26794 1.61766
120 -1 4.13311 2.42776 2.27018 1.34015 3.25311 1.81555
130 -1 4.15677 2.51195 2.54992 1.54111 3.27422 2.02383
140 -1 4.16283 2.58269 2.79476 1.74579 3.29319 2.22868
150 -1 4.16267 2.65031 3.04141 1.93278 3.28674 2.41973
160 -1 4.11025 2.69147 3.35042 2.19298 3.24725 2.64758
170 -1 4.16282 2.79424 3.53487 2.38317 3.2778 2.78909
180 -1 4.18871 2.92588 3.64941 2.58307 3.30048 2.87321
190 -1 4.15237 3.00806 3.75531 2.78577 3.27145 2.96157
200 -1 4.66369 3.29243 4.74244 3.29846 3.56962 3.65865
